Taxa,GY-IF-XX-2014,GY-IF-ZX-2014,GY-IF-XX-2015,GY-IF-ZX-2015,GY-RN-XX-2014,GY-RN-ZX-2014,GY-RN-XX-2015,GY-RN-ZX-2015,GY-RP-XX-2014,GY-RP-ZX-2014,GY-RP-XX-2015,GY-RP-ZX-2015,TGW-IF-XX-2014,TGW-IF-ZX-2014,TGW-IF-XX-2015,TGW-IF-ZX-2015,TGW-RN-XX-2014,TGW-RN-ZX-2014,TGW-RN-XX-2015,TGW-RN-ZX-2015,TGW-RP-XX-2014,TGW-RP-ZX-2014,TGW-RP-XX-2015,TGW-RP-ZX-2015,GL-IF-XX-2014,GL-IF-ZX-2014,GL-IF-XX-2015,GL-IF-ZX-2015,GL-RN-XX-2014,GL-RN-ZX-2013,GL-RN-XX-2015,GL-RN-ZX-2015,GL-RP-XX-2013,GL-RP-ZX-2013,GL-RP-XX-2015,GL-RP-ZX-2015,GW-IF-XX-2014,GW-IF-ZX-2014,GW-IF-XX-2015,GW-IF-ZX-2015,GW-RN-XX-2014,GW-RN-ZX-2014,GW-RN-XX-2015,GW-RN-ZX-2015,GW-RP-XX-2014,GW-RP-ZX-2014,GW-RP-XX-2015,GW-RP-ZX-2015,GNS-IF-XX-2014,GNS-IF-ZX-2014,GNS-IF-XX-2015,GNS-IF-ZX-2015,GNS-RN-XX-2014,GNS-RN-ZX-2014,GNS-RN-XX-2015,GNS-RN-ZX-2015,GNS-RP-XX-2014,GNS-RP-ZX-2014,GNS-RP-XX-2015,GNS-RP-ZX-2015,TN-IF-XX-2014,TN-IF-ZX-2014,TN-IF-XX-2015,TN-IF-ZX-2015,TN-RN-XX-2014,TN-RN-ZX-2014,TN-RN-XX-2015,TN-RN-ZX-2015,TN-RP-XX-2014,TN-RP-ZX-2014,TN-RP-XX-2015,TN-RP-ZX-2015,PH-IF-XX-2014,PH-RN-XX-2014,PH-RP-XX-2014,PH-IF-ZX-2014,PH-RN-ZX-2014,PH-RP-ZX-2014,PH-IF-XX-2015,PH-RN-XX-2015,PH-RP-XX-2015,PH-IF-ZX-2015,PH-RN-ZX-2015,PH-RP-ZX-2015
AM3.1,1245,1356.82,1431.67,1265.67,1065.34,1055.65,1177.34,899.5,1215.5,952.65,1209.83,1127.83,51.31,47.42,44.3,40.12,42.49,45.18,38.95,40.6,42.48,39.32,36.84,35.28,6.63,6.73,6.15,6.475666667,5.85,6.03,5.58,5.84,5.81,6.16,5.61,5.81,3.47,3.29,3.16,3.09,3.09,3.13,2.94,3.04,3.09,2.91,2.86,2.77,40.22,43.67,34.11,40.11,35.98,34.57,29.56,32.67,40.61,42.59,32.96,34.57,43.5,39.83,48.67,45,38.17,34.17,49.17,23.58,35,31.83,42.5,30.33,88,94,93,86,78.33333333,76.33333333,94.66666667,92.66666667,93.66666667,77.11111111,80.11111111,75.88888889
AM3.2,1041.67,1070.82,1038.33,1059,933.34,733.15,906.66,682.17,852.83,845.32,949.17,882.33,47.24,48.79,42.61,45.43,40.28,46.57,40.11,45.13,39.9,39.91,36.74,38.38,6.7,6.77,6.27,6.695333333,5.96,6.08,5.79,6.05,5.96,6.15,5.67,5.96,3.28,3.28,3.05,3.23,2.94,3.14,2.93,3.18,2.92,2.92,2.8,2.89,36.89,39.67,34.78,37.44,33.15,32.96,32.21,27.57,31.08,34.94,36.46,31.82,45,37.5,41.67,39,42.83,26.5,36,23.92,35.17,36.5,33.33,28.67,73.66666667,72.66666667,70.33333333,68,63.33333333,62.66666667,77.16666667,76.88888889,78.77777778,66.22222222,65.55555556,63.38888889
AM3.3,1090,1250.15,1203.33,1132.67,956,828.65,1018.66,820.83,908.08,1010.15,961.92,931.5,37.46,33.49,32.35,29.51,31.19,34.75,30.56,29.09,31.11,28.03,26.08,24.86,5.58,5.49,5.25,5.42,4.98,5.25,5.04,4.86,4.93,4.99,4.76,4.86,3.17,2.99,2.89,2.85,2.84,2.9,2.76,2.81,2.81,2.65,2.59,2.52,54.33,54.67,48.44,51.67,42.02,46.75,36.07,36.55,47.32,47.12,39.76,44.39,38.5,43.83,43.33,40.83,37.5,26.17,38.5,25.58,37,40.5,37.17,30.33,69.66666667,72,70.33333333,69.66666667,65.66666667,65,75.33333333,77.88888889,75.22222222,68.33333333,68,66.22222222
AM3.4,1246.67,1360.32,1171.67,1256.17,1086.66,852.98,949.34,842.5,1107.83,1127.48,974.67,1121.67,46.86,44.9,40.4,40.32,38.72,41.23,36.96,38.02,39.39,37.54,34.06,34.73,5.79,5.75,5.61,5.744333333,5.16,5.23,4.98,5.2,5.08,5.2,4.94,5.08,3.59,3.46,3.2,3.33,3.2,3.22,3.11,3.19,3.19,3.09,2.96,3,44.78,46.11,38.22,40,35.13,34.76,33.81,31.45,38.91,40.89,34.19,39.29,36,44.33,41.83,34.33,40.5,26,40.67,26.25,41.17,33.83,38.33,29.17,79.33333333,78.33333333,78,76,70.66666667,72.66666667,82.55555556,83,82.77777778,71,73.33333333,71.5
AM3.5,1143.33,1272.48,1223.33,1125.5,968,672.65,996,759.17,1001.58,941.65,1018.58,1081.83,48.62,45.31,40.77,40.31,41.08,41.94,36.81,39.46,41.42,39.47,36.04,34.25,6.41,6.33,6.02,6.348,5.76,5.77,5.48,5.74,5.67,5.85,5.52,5.62,3.44,3.31,3.08,3.12,3.07,3.06,2.94,3.07,3.05,2.97,2.88,2.78,42.56,43.22,43.44,39,35.61,28.14,37.77,26.63,34.48,37.77,35.51,34.57,35.33,41.33,49.33,36.67,37,23.17,39.5,25.75,37,32.5,38,28.17,80,77.33333333,77.66666667,75.33333333,70,73.33333333,86.44444444,88.22222222,82.66666667,72.88888889,73.44444444,73.27777778
AM3.6,1193.33,1333.32,1245,1103,1012,718.65,982.66,700.5,1073.83,954.48,1012.92,1103.67,50.86,42.94,39.91,39.43,41.49,40.69,35.16,38,40.26,36.4,33.94,34.85,6.77,6.55,6.25,6.539,6.02,5.88,5.68,5.84,5.92,6.01,5.71,5.89,3.45,3.22,3.03,3.11,3.05,3.05,2.83,3.02,2.99,2.87,2.77,2.82,34.44,41.56,38,39,30.79,30.6,32.49,26.44,32.3,38.62,36.18,31.93,41.5,50,40.17,36,50.17,28.5,40.5,22.92,43,34,43.5,34.5,75.33333333,74.33333333,74,73,67.66666667,67,79.22222222,78.33333333,78.11111111,69.22222222,64.66666667,71.44444444
AM3.7,875,1178.82,1101.67,1062,832,594.98,933.34,611,757.92,842.32,913.75,892.5,43.03,39.99,38,34.44,37.31,35.76,32.81,33.69,36.67,33.39,31.75,31.15,5.9,5.82,5.61,5.684333333,5.39,5.26,5.11,5.21,5.28,5.28,5.15,5.18,3.32,3.2,3.07,3.04,3.03,2.94,2.85,2.92,2.98,2.84,2.8,2.78,54.67,58.22,61.44,56,45.81,40.04,47.69,36.07,40.04,50.52,43.26,45.71,27.17,28.17,29.33,29,26.5,16.83,28.67,21.17,29,26.83,28.83,22.5,79,76.66666667,76,75.66666667,68,71.33333333,83.33333333,84.88888889,84.66666667,74.33333333,72.22222222,72.44444444
AM3.8,1005,1245.32,1060,1048.33,849.34,743.48,844,742.17,970.42,1010.15,888.25,974.83,49.01,46.28,41.49,40.01,41.47,40.32,35.56,34.62,39.72,36.77,34.72,32.73,6.46,6.35,6.03,6.312,5.81,5.69,5.5,5.59,5.64,5.69,5.49,5.59,3.49,3.4,3.19,3.23,3.13,3.08,2.94,3,3.06,2.98,2.9,2.85,36.67,41.78,34.78,38.11,25.87,32.58,32.21,25.69,29.27,39.19,34.19,35.7,40.33,39.67,41,33.33,36.67,30,47.67,24.92,38,31.17,37.67,32.5,81,80.33333333,79.66666667,78.33333333,69,75.66666667,82.22222222,81.33333333,80.33333333,71.22222222,67.11111111,69.66666667
AM3.9,1248.33,1415.98,1265,1241.5,1070.66,750.15,1058.66,651.67,1175.83,1073.82,1076.67,1095.33,48.62,44.02,40.54,39.04,41.1,43.68,35.25,41.05,41.52,37.88,34.02,35.67,6.48,6.44,6.12,6.386666667,5.81,5.94,5.55,5.88,5.79,5.85,5.57,5.8,3.35,3.18,3,3.03,3.02,3.06,2.78,3.05,3,2.87,2.76,2.81,38.78,43.89,41.89,38,32.96,28.99,32.3,24.84,34.66,39.01,35.33,33.81,42,44,42,43.67,42.67,31.17,42.83,25.42,38.33,31.5,40.17,33,80.66666667,79.33333333,80,78.33333333,68.33333333,75,83.33333333,86,83.77777778,73.88888889,70.55555556,73.38888889
AM3.10,1125,1183.82,1055,980.67,980,657.15,916,615.17,1066.75,964.98,961.92,988.5,50.19,49.47,43.39,41.28,42.5,43.75,37.76,40.11,41.97,41.36,36.14,38.22,6.35,6.36,5.99,6.218333333,5.71,5.76,5.39,5.64,5.61,5.85,5.45,5.63,3.54,3.49,3.22,3.22,3.19,3.18,2.99,3.14,3.18,3.1,2.92,3,43.11,44,39.44,39.89,35.22,32.96,34.76,25.69,34.37,39.01,40.52,39.47,37,37,39,34.67,36.33,23.5,35.33,25.42,35,28.17,44,29.5,77.33333333,78.66666667,76.33333333,75,66.66666667,69.33333333,80.66666667,83.44444444,81.33333333,67.55555556,68.88888889,69.33333333
